number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_dense_units,params_dropout_dense,params_dropout_rate,params_lr,params_scheduler_gamma,params_scheduler_step_size,params_units,params_weight_decay,state
0,1.8079465648957662,2025-11-30 17:25:31.317251,2025-11-30 17:28:50.673117,0 days 00:03:19.355866,0.95,0.995,32,0.5,0.5,0.00010994335574766199,0.3,3,256,0.0002607024758370766,COMPLETE
1,1.519942755145686,2025-11-30 17:28:50.675481,2025-11-30 17:31:43.335391,0 days 00:02:52.659910,0.85,0.995,128,0.30000000000000004,0.2,0.0037183641805732083,0.3,5,512,8.168455894760161e-05,COMPLETE
2,1.7342045732906886,2025-11-30 17:31:43.337435,2025-11-30 17:34:27.010172,0 days 00:02:43.672737,0.9,0.99,64,0.5,0.1,0.00017541893487450815,0.4,6,128,7.591104805282687e-05,COMPLETE
3,1.5536379303250993,2025-11-30 17:34:27.012230,2025-11-30 17:36:11.278789,0 days 00:01:44.266559,0.85,0.99,128,0.6,0.5,0.0069782812651260325,0.4,3,128,0.0001569639638866114,COMPLETE
4,1.460262414600168,2025-11-30 17:36:11.282042,2025-11-30 17:40:13.765216,0 days 00:04:02.483174,0.85,0.99,128,0.2,0.5,0.0035033984911586884,0.6000000000000001,6,512,0.0009413993046829941,COMPLETE
5,1.72512643464974,2025-11-30 17:40:13.767618,2025-11-30 17:41:37.070388,0 days 00:01:23.302770,0.95,0.995,128,0.2,0.2,0.0004470608546778491,0.5,6,256,4.187594718900626e-05,COMPLETE
6,1.6496528408357076,2025-11-30 17:41:37.073684,2025-11-30 17:44:12.514579,0 days 00:02:35.440895,0.9,0.99,64,0.2,0.30000000000000004,0.0001155735281626988,0.7,5,512,1.6435497475111308e-05,COMPLETE
7,1.9142729256834303,2025-11-30 17:44:12.517329,2025-11-30 17:45:55.787245,0 days 00:01:43.269916,0.95,0.99,128,0.6,0.5,0.005532496914298506,0.5,6,512,0.00018484491720988634,PRUNED
8,1.6042366517441613,2025-11-30 17:45:55.789897,2025-11-30 17:47:19.206512,0 days 00:01:23.416615,0.85,0.99,256,0.2,0.5,0.0006836314065022728,0.7,4,256,0.00010507384024181397,COMPLETE
9,1.7627077060086387,2025-11-30 17:47:19.209014,2025-11-30 17:49:37.553451,0 days 00:02:18.344437,0.9,0.995,64,0.30000000000000004,0.30000000000000004,0.00011851515660043118,0.4,3,512,3.712624179040528e-05,COMPLETE
